RSRP,RSRQ,Azimuth,Dis_Serving,RS SINR Carrier 1
-91.69999695,-12.10000038,245.4050202,0.395461534,1.799999952
-89.0,-11.10000038,245.3560632,0.393858283,6.099999905
-87.80000305,-10.69999981,245.2305016,0.393162554,5.199999809
-88.5,-9.5,245.0704941,0.389524944,6.599999905
-86.90000153,-11.60000038,245.0064389,0.381977529,5.199999809
-87.69999695,-12.0,244.9575973,0.372496646,6.900000095
-87.59999847,-11.89999962,244.7543624,0.36239028,7.599999905
-86.59999847,-9.699999809,244.385621,0.351803663,8.0
-84.59999847,-9.100000381,244.1740448,0.341230611,10.30000019
-89.59999847,-12.30000019,243.7586137,0.330972478,4.699999809
-87.0,-10.39999962,243.1019767,0.321193362,6.900000095
-83.80000305,-11.39999962,242.6833714,0.311275036,5.300000191
-85.0,-13.0,242.2038383,0.299984835,7.599999905
-82.30000305,-12.10000038,241.1808947,0.288339762,11.60000038
-81.0,-9.5,239.3942891,0.244755957,10.5
-81.5,-9.800000191,239.2600924,0.23546412,11.89999962
-82.09999847,-9.5,239.184139,0.227159328,12.39999962
-83.0,-7.5,238.719112,0.218690941,13.80000019
-83.90000153,-8.300000191,238.3069373,0.208793347,13.60000038
-84.30000305,-8.399999619,237.7171706,0.197400742,13.19999981
-85.19999695,-12.39999962,236.3310205,0.172791583,6.900000095
-94.69999695,-18.70000076,233.9455173,0.145221043,9.5
-82.40000153,-9.300000191,232.6184714,0.131621059,12.39999962
-80.5,-9.0,232.1893259,0.118390612,12.19999981
-83.40000153,-11.19999981,230.083495,0.108766541,9.5
-82.0,-9.699999809,227.4300135,0.10156076,10.19999981
-79.40000153,-11.30000019,224.3330197,0.0949823,12.30000019
-81.90000153,-12.89999962,220.3779972,0.087823095,8.800000191
-85.09999847,-13.0,213.7967713,0.080670207,3.200000048
-79.59999847,-9.0,203.764482,0.07568995,10.60000038
-77.80000305,-10.10000038,191.1306572,0.076010445,7.900000095
-80.90000153,-13.19999981,178.9231217,0.086051161,2.400000095
-85.30000305,-14.19999981,170.8641304,0.102062875,-1.100000024
-89.5,-15.5,166.4243749,0.121429334,-3.400000095
-89.80000305,-16.10000038,164.4483576,0.143042948,-5.5
-89.90000153,-15.69999981,163.5002585,0.16599887,-4.199999809
-86.09999847,-12.5,162.770154,0.189723789,1.0
-88.19999695,-16.79999924,162.1038096,0.213559432,-5.599999905
-87.30000305,-17.0,161.6623073,0.236557242,1.299999952
-80.5,-10.89999962,161.4132668,0.259144572,2.400000095
-81.59999847,-10.89999962,161.1701587,0.281660218,2.5
-82.19999695,-11.0,161.0615859,0.304271786,2.299999952
-80.80000305,-9.399999619,161.1153969,0.327984713,4.599999905
-81.0,-10.10000038,161.1630014,0.35361895,3.5
-80.40000153,-11.39999962,161.2547708,0.379781887,0.400000006
-82.40000153,-13.60000038,161.2754497,0.405108577,-0.5
-81.90000153,-11.5,161.2971237,0.429502699,1.0
-83.69999695,-10.89999962,161.3501828,0.453803132,1.799999952
-84.09999847,-12.89999962,161.3681907,0.477797696,-0.800000012
-83.0,-14.39999962,161.3991383,0.501567217,-0.300000012
-83.80000305,-12.89999962,161.418145,0.524927466,-0.300000012
-86.5,-15.39999962,161.3657819,0.570497163,-1.899999976
-90.09999847,-18.29999924,161.3576966,0.591206328,-5.900000095
-88.19999695,-20.0,161.3833512,0.611043879,4.0
-74.09999847,-12.19999981,351.9262222,0.202078284,4.300000191
-72.30000305,-11.60000038,352.8356851,0.183414751,5.900000095
-71.90000153,-11.30000019,354.2280899,0.165612737,4.599999905
-80.0,-13.69999981,355.6801123,0.148312832,4.900000095
-88.19999695,-15.69999981,357.4438054,0.131417505,1.0
-88.30000305,-14.60000038,359.5830533,0.115476765,1.399999976
-88.0,-13.80000019,2.139148532,0.101088814,0.699999988
-92.0,-15.5,3.459349453,0.086733299,-0.899999976
-88.90000153,-15.0,1.726998784,0.072503115,0.600000024
-81.5,-13.30000019,321.3796768,0.635649753,-0.200000003
-83.90000153,-15.39999962,320.8368949,0.63325791,-1.899999976
